date,weekday,pax,location
22-1-2026,donderdag,14,heer ivo zaal
22-1-2026,donderdag,23,nassauzaal
22-1-2026,donderdag,30,extern
22-1-2026,donderdag,9,prinsessezaal
22-1-2026,donderdag,20,extern
22-2-2025,zaterdag,7,hofdame
22-4-2025,dinsdag,25,nassauzaal
22-4-2025,dinsdag,17,nassauzaal
22-5-2025,donderdag,60,binnentuin
22-5-2025,donderdag,34,nassauzaal
22-6-2024,zaterdag,50,binnentuin
22-6-2024,zaterdag,50,extern
22-6-2024,zaterdag,30,binnentuin
22-9-2024,zondag,11,hofdame
22-9-2025,maandag,5,extern
22-10-2024,dinsdag,15,nassauzaal
22-10-2024,dinsdag,8,prinsessezaal
22-10-2024,dinsdag,11,nassauzaal
22-10-2024,dinsdag,8,heer ivo zaal
22-11-2024,vrijdag,10,heer ivo zaal
22-11-2024,vrijdag,10,extern
22-11-2024,vrijdag,60,extern
22-11-2024,vrijdag,90,extern
22-11-2025,zaterdag,75,extern
22-11-2025,zaterdag,14,nassauzaal
22-12-2025,maandag,30,opkamer
23-1-2025,donderdag,19,nassauzaal
23-1-2025,donderdag,9,heer ivo zaal
23-1-2025,donderdag,50,extern
23-1-2026,vrijdag,30,nassauzaal
23-2-2025,zondag,13,hofdame
23-3-2025,zondag,12,hofdame
23-5-2024,donderdag,12,nassauzaal
23-5-2024,donderdag,14,nassauzaal
23-5-2024,donderdag,6,prinsessezaal
23-5-2024,donderdag,20,nassauzaal
23-5-2024,donderdag,14,hofdame
23-5-2024,donderdag,45,nassauzaal
23-6-2024,zondag,40,binnentuin
23-6-2025,maandag,8,prinsessezaal
23-6-2025,maandag,10,extern
23-9-2024,maandag,12,heer ivo zaal
23-9-2024,maandag,12,heer ivo zaal
23-9-2024,maandag,10,prinsessezaal
23-9-2025,dinsdag,10,heer ivo zaal
23-10-2025,donderdag,20,hofdame
23-11-2024,zaterdag,22,nassauzaal
23-12-2024,maandag,6,prinsessezaal
23-12-2025,dinsdag,60,extern
24-1-2025,vrijdag,33,nassauzaal
24-1-2025,vrijdag,50,extern
24-1-2025,vrijdag,32,hofdame
24-1-2026,zaterdag,60,extern
24-2-2025,maandag,12,hofdame
24-2-2025,maandag,14,hofdame
24-2-2025,maandag,40,nassauzaal
24-3-2025,maandag,15,opkamer
24-3-2025,maandag,11,heer ivo zaal
24-3-2026,dinsdag,75,extern
24-3-2026,dinsdag,7,prinsessezaal
24-4-2024,woensdag,25,hofdame
24-4-2025,donderdag,15,nassauzaal
24-6-2024,maandag,8,prinsessezaal
24-6-2024,maandag,40,extern
24-6-2025,dinsdag,12,hofdame
24-6-2025,dinsdag,40,extern
24-9-2024,dinsdag,16,nassauzaal
24-10-2024,donderdag,125,extern
24-10-2024,donderdag,14,nassauzaal
24-10-2024,donderdag,4,extern
24-10-2025,vrijdag,20,nassauzaal
24-11-2025,maandag,12,heer ivo zaal
24-12-2024,dinsdag,5,heer ivo zaal
24-12-2024,dinsdag,22,nassauzaal
24-12-2025,woensdag,7,extern
25-1-2025,zaterdag,50,extern
25-2-2025,dinsdag,12,hofdame
25-2-2025,dinsdag,16,nassauzaal
25-2-2025,dinsdag,9,prinsessezaal
25-3-2025,dinsdag,12,heer ivo zaal
25-4-2024,donderdag,16,binnentuin
25-6-2024,dinsdag,25,binnentuin
25-6-2024,dinsdag,25,nassauzaal
25-6-2024,dinsdag,6,prinsessezaal
25-6-2025,woensdag,30,extern
25-9-2024,woensdag,15,extern
25-9-2024,woensdag,6,extern
25-9-2024,woensdag,6,hofdame
25-9-2025,donderdag,15,nassauzaal
25-9-2025,donderdag,15,nassauzaal
25-9-2025,donderdag,19,hofdame
25-9-2025,donderdag,13,nassauzaal
25-9-2025,donderdag,13,nassauzaal
25-10-2024,vrijdag,11,hofdame
25-10-2024,vrijdag,150,extern
25-10-2024,vrijdag,22,extern
25-10-2024,vrijdag,7,hofdame
25-10-2025,zaterdag,60,nassauzaal
25-11-2024,maandag,18,hofdame
25-11-2024,maandag,8,prinsessezaal
25-11-2024,maandag,8,prinsessezaal
25-11-2025,dinsdag,3,prinsessezaal
25-11-2025,dinsdag,12,heer ivo zaal
25-11-2025,dinsdag,13,nassauzaal
25-11-2025,dinsdag,15,nassauzaal
25-12-2025,donderdag,12,extern
25-12-2025,donderdag,13,extern
25-12-2025,donderdag,10,extern
26-1-2026,maandag,5,prinsessezaal
26-1-2026,maandag,20,nassauzaal
26-2-2025,woensdag,4,prinsessezaal
26-2-2026,donderdag,30,opkamer
26-2-2026,donderdag,8,extern
26-3-2025,woensdag,50,nassauzaal
26-3-2026,donderdag,78,hofdame
26-3-2026,donderdag,60,nassauzaal
26-3-2026,donderdag,60,nassauzaal
26-3-2026,donderdag,20,nassauzaal
26-3-2026,donderdag,70,extern
26-5-2025,maandag,5,hofdame
